Geographic Area Name (NAME),Population Universe (POPUNI),"Estimate, 0 components of social vulnerability (PRED0_E)","Margin of error, 0 components of social vulnerability (PRED0_M)","Percent, 0 components of social vulnerability (PRED0_PE)","Percent margin of error, 0 components of social vulnerability (PRED0_PM)","Estimate, 1-2 components of social vulnerability (PRED12_E)","Margin of error, 1-2 components of social vulnerability (PRED12_M)","Percent, 1-2 components of social vulnerability (PRED12_PE)","Percent margin of error, 1-2 components of social vulnerability (PRED12_PM)","Estimate, 3+ components of social vulnerability (PRED3_E)","Margin of error, 3+ components of social vulnerability (PRED3_M)","Percent, 3+ components of social vulnerability (PRED3_PE)","Percent margin of error, 3+ components of social vulnerability (PRED3_PM)"
"Suffolk County, New York","1,506,145","579,028","32,925",38.44%,2.19%,"667,129","34,993",44.29%,2.32%,"259,988","29,115",17.26%,1.93%
"Franklin County, Ohio","1,305,904","499,523","32,636",38.25%,2.50%,"548,345","33,739",41.99%,2.58%,"258,036","27,673",19.76%,2.12%
"Allegheny County, Pennsylvania","1,198,698","504,921","32,475",42.12%,2.71%,"463,742","33,345",38.69%,2.78%,"230,035","26,806",19.19%,2.24%
"Mecklenburg County, North Carolina","1,151,829","476,080","32,248",41.33%,2.80%,"482,121","33,158",41.86%,2.88%,"193,628","25,320",16.81%,2.20%
"Oakland County, Michigan","1,264,853","563,085","32,102",44.52%,2.54%,"496,291","32,432",39.24%,2.56%,"205,477","25,651",16.25%,2.03%
"Fulton County, Georgia","1,053,395","440,640","30,735",41.83%,2.92%,"431,839","31,762",40.99%,3.02%,"180,916","24,522",17.17%,2.33%
"Nassau County, New York","1,373,285","497,366","30,722",36.22%,2.24%,"626,120","34,655",45.59%,2.52%,"249,799","30,660",18.19%,2.23%
"San Francisco County, California","802,248","249,406","30,483",31.09%,3.80%,"378,806","32,747",47.22%,4.08%,"174,036","25,855",21.69%,3.22%
"Wake County, North Carolina","1,178,662","544,981","29,581",46.24%,2.51%,"467,212","30,100",39.64%,2.55%,"166,469","22,681",14.12%,1.92%
"Salt Lake County, Utah","1,176,004","497,267","28,618",42.28%,2.43%,"516,619","29,266",43.93%,2.49%,"162,118","21,303",13.79%,1.81%
"Duval County, Florida","1,019,295","363,792","28,360",35.69%,2.78%,"451,174","29,314",44.26%,2.88%,"204,329","23,145",20.05%,2.27%
"Marion County, Indiana","958,697","355,588","28,271",37.09%,2.95%,"410,073","29,209",42.77%,3.05%,"193,036","23,832",20.14%,2.49%
"Essex County, New Jersey","833,739","243,353","28,183",29.19%,3.38%,"367,895","33,738",44.13%,4.05%,"222,491","30,922",26.69%,3.71%
"Collin County, Texas","1,189,243","524,591","28,012",44.11%,2.36%,"509,567","28,825",42.85%,2.42%,"155,085","21,978",13.04%,1.85%
"Gwinnett County, Georgia","980,079","354,798","27,740",36.20%,2.83%,"455,671","28,818",46.49%,2.94%,"169,610","22,076",17.31%,2.25%
"Milwaukee County, Wisconsin","905,327","305,631","27,378",33.76%,3.02%,"387,016","29,228",42.75%,3.23%,"212,680","24,722",23.49%,2.73%
"Fairfax County, Virginia","1,135,350","504,085","26,795",44.40%,2.36%,"468,529","27,557",41.27%,2.43%,"162,736","21,225",14.33%,1.87%
"Pima County, Arizona","1,045,416","324,670","26,477",31.06%,2.53%,"495,534","28,349",47.40%,2.71%,"225,212","22,545",21.54%,2.16%
"Capitol Planning Region, Connecticut","952,127","380,649","26,399",39.98%,2.77%,"394,304","27,508",41.41%,2.89%,"177,174","21,653",18.61%,2.27%
"District of Columbia, District of Columbia","653,712","235,584","26,350",36.04%,4.03%,"282,229","27,470",43.17%,4.20%,"135,899","21,639",20.79%,3.31%
"Suffolk County, Massachusetts","728,646","229,964","26,036",31.56%,3.57%,"318,502","27,907",43.71%,3.83%,"180,180","23,742",24.73%,3.26%
"Montgomery County, Maryland","1,057,734","422,125","25,878",39.91%,2.45%,"455,399","27,340",43.05%,2.58%,"180,210","22,061",17.04%,2.09%
"Erie County, New York","930,230","347,640","25,751",37.37%,2.77%,"384,906","27,175",41.38%,2.92%,"197,684","22,583",21.25%,2.43%
"Hudson County, New Jersey","700,902","165,877","25,269",23.67%,3.61%,"341,671","29,373",48.75%,4.19%,"193,354","25,976",27.59%,3.71%
"Prince George's County, Maryland","934,433","298,075","25,020",31.90%,2.68%,"435,233","27,528",46.58%,2.95%,"201,125","23,250",21.52%,2.49%
"Westchester County, New York","977,381","337,135","24,896",34.49%,2.55%,"432,426","28,135",44.24%,2.88%,"207,820","24,835",21.26%,2.54%
"Pinellas County, Florida","955,440","312,896","24,659",32.75%,2.58%,"424,906","25,921",44.47%,2.71%,"217,638","21,555",22.78%,2.26%
"St. Louis County, Missouri","976,988","397,675","24,615",40.70%,2.52%,"394,678","25,319",40.40%,2.59%,"184,635","20,542",18.90%,2.10%
"Contra Costa County, California","1,152,485","381,574","24,584",33.11%,2.13%,"572,840","26,903",49.70%,2.33%,"198,071","21,205",17.19%,1.84%
"Shelby County, Tennessee","902,869","292,887","23,716",32.44%,2.63%,"387,263","25,866",42.89%,2.86%,"222,719","22,771",24.67%,2.52%
"Bergen County, New Jersey","953,915","338,398","23,653",35.47%,2.48%,"430,310","26,667",45.11%,2.80%,"185,207","23,615",19.42%,2.48%
"Denton County, Texas","1,001,738","428,206","23,580",42.75%,2.35%,"434,959","24,457",43.42%,2.44%,"138,573","18,939",13.83%,1.89%
"Hamilton County, Ohio","813,477","318,441","23,542",39.15%,2.89%,"326,423","24,278",40.13%,2.98%,"168,613","20,098",20.73%,2.47%
"Macomb County, Michigan","873,166","349,451","23,371",40.02%,2.68%,"363,419","23,764",41.62%,2.72%,"160,296","19,367",18.36%,2.22%
"Fresno County, California","1,008,000","246,500","23,368",24.45%,2.32%,"532,137","26,372",52.79%,2.62%,"229,363","21,101",22.75%,2.09%
"Cobb County, Georgia","769,558","331,049","23,104",43.02%,3.00%,"323,377","23,612",42.02%,3.07%,"115,132","17,867",14.96%,2.32%
"Lee County, Florida","827,414","236,928","22,967",28.63%,2.78%,"392,923","25,017",47.49%,3.02%,"197,563","20,787",23.88%,2.51%
"DeKalb County, Georgia","753,630","281,535","22,777",37.36%,3.02%,"321,896","23,897",42.71%,3.17%,"150,199","19,132",19.93%,2.54%
"Multnomah County, Oregon","782,517","292,159","22,658",37.34%,2.90%,"343,216","23,686",43.86%,3.03%,"147,142","17,896",18.80%,2.29%
"Pierce County, Washington","923,037","330,370","22,517",35.79%,2.44%,"447,941","23,594",48.53%,2.56%,"144,726","17,483",15.68%,1.89%
"Honolulu County, Hawaii","980,936","276,153","22,378",28.15%,2.28%,"528,169","24,335",53.84%,2.48%,"176,614","19,301",18.00%,1.97%
"Denver County, Colorado","708,765","286,676","22,283",40.45%,3.14%,"302,419","23,126",42.67%,3.26%,"119,670","17,432",16.88%,2.46%
"Oklahoma County, Oklahoma","800,569","266,358","22,190",33.27%,2.77%,"362,533","23,395",45.28%,2.92%,"171,678","19,094",21.44%,2.39%
"Baltimore County, Maryland","830,663","315,242","22,166",37.95%,2.67%,"356,818","23,238",42.96%,2.80%,"158,603","18,802",19.09%,2.26%
"Baltimore city, Maryland","552,466","179,324","22,031",32.46%,3.99%,"233,002","23,759",42.17%,4.30%,"140,140","19,702",25.37%,3.57%
"Hidalgo County, Texas","893,132","181,148","22,018",20.28%,2.47%,"444,763","25,359",49.80%,2.84%,"267,221","22,182",29.92%,2.48%
"Worcester County, Massachusetts","848,604","351,547","21,747",41.43%,2.56%,"349,414","22,089",41.18%,2.60%,"147,643","16,741",17.40%,1.97%
"Fort Bend County, Texas","913,691","360,029","21,602",39.40%,2.36%,"404,833","23,035",44.31%,2.52%,"148,829","18,827",16.29%,2.06%
"DuPage County, Illinois","915,358","387,913","21,480",42.38%,2.35%,"381,164","22,210",41.64%,2.43%,"146,281","18,180",15.98%,1.99%
"Monroe County, New York","730,883","285,084","21,443",39.01%,2.93%,"294,734","22,489",40.33%,3.08%,"151,065","18,459",20.67%,2.53%
"Montgomery County, Pennsylvania","856,759","375,292","21,234",43.80%,2.48%,"335,723","21,954",39.19%,2.56%,"145,744","17,648",17.01%,2.06%
"Providence County, Rhode Island","642,418","226,958","21,167",35.33%,3.29%,"272,360","22,729",42.40%,3.54%,"143,100","19,449",22.28%,3.03%
"Polk County, Florida","805,660","262,141","21,115",32.54%,2.62%,"370,727","22,236",46.02%,2.76%,"172,792","17,794",21.45%,2.21%
"Essex County, Massachusetts","800,086","311,284","21,050",38.91%,2.63%,"333,999","22,214",41.75%,2.78%,"154,803","18,282",19.35%,2.29%
"Jackson County, Missouri","714,700","279,083","20,720",39.05%,2.90%,"301,933","21,184",42.25%,2.96%,"133,684","16,809",18.70%,2.35%
"Snohomish County, Washington","842,437","327,502","20,636",38.88%,2.45%,"385,325","21,659",45.74%,2.57%,"129,610","16,087",15.39%,1.91%
"Davidson County, Tennessee","693,782","260,691","20,507",37.58%,2.96%,"292,600","21,183",42.17%,3.05%,"140,491","17,468",20.25%,2.52%
"Jefferson County, Kentucky","766,233","277,970","20,284",36.28%,2.65%,"318,868","21,111",41.62%,2.76%,"169,395","17,870",22.11%,2.33%
"Middlesex County, New Jersey","845,680","283,787","19,970",33.56%,2.36%,"383,572","22,638",45.36%,2.68%,"178,321","19,746",21.09%,2.33%
"El Paso County, Texas","863,274","218,482","19,820",25.31%,2.30%,"410,352","22,887",47.53%,2.65%,"234,440","20,243",27.16%,2.34%
"El Paso County, Colorado","740,621","315,624","19,729",42.62%,2.66%,"321,763","20,136",43.45%,2.72%,"103,234","14,597",13.94%,1.97%
"Kern County, California","898,839","226,273","19,481",25.17%,2.17%,"467,903","21,960",52.06%,2.44%,"204,663","17,424",22.77%,1.94%
"Bernalillo County, New Mexico","666,993","220,251","19,221",33.02%,2.88%,"308,719","20,552",46.29%,3.08%,"138,023","16,560",20.69%,2.48%
"Norfolk County, Massachusetts","718,388","315,655","19,045",43.94%,2.65%,"293,055","19,305",40.79%,2.69%,"109,678","14,905",15.27%,2.07%
"Montgomery County, Texas","708,752","268,911","19,027",37.94%,2.68%,"313,382","19,821",44.22%,2.80%,"126,459","15,661",17.84%,2.21%
"San Joaquin County, California","795,334","225,345","18,793",28.33%,2.36%,"411,577","20,878",51.75%,2.63%,"158,412","16,529",19.92%,2.08%
"Jefferson County, Alabama","649,706","233,619","18,707",35.96%,2.88%,"270,571","19,716",41.65%,3.03%,"145,516","16,747",22.40%,2.58%
"Kent County, Michigan","655,526","288,979","18,641",44.08%,2.84%,"256,731","18,872",39.16%,2.88%,"109,816","14,865",16.75%,2.27%
"San Mateo County, California","723,995","229,859","18,044",31.75%,2.49%,"369,536","19,736",51.04%,2.73%,"124,600","15,686",17.21%,2.17%
"Arapahoe County, Colorado","654,818","259,388","17,854",39.61%,2.73%,"284,653","18,789",43.47%,2.87%,"110,777","14,603",16.92%,2.23%
"Lake County, Illinois","705,649","298,587","17,727",42.31%,2.51%,"296,133","18,299",41.97%,2.59%,"110,929","14,705",15.72%,2.08%
"Williamson County, Texas","695,095","284,748","17,720",40.97%,2.55%,"309,702","18,532",44.56%,2.67%,"100,645","14,484",14.48%,2.08%
"Ventura County, California","826,031","243,735","17,621",29.51%,2.13%,"428,209","19,677",51.84%,2.38%,"154,087","15,789",18.65%,1.91%
"Pasco County, Florida","628,374","223,695","17,507",35.60%,2.79%,"278,841","18,079",44.38%,2.88%,"125,838","14,139",20.03%,2.25%
"Johnson County, Kansas","620,837","304,847","17,272",49.10%,2.78%,"236,097","17,216",38.03%,2.77%,"79,893","13,011",12.87%,2.10%
"Greenville County, South Carolina","551,031","224,882","17,227",40.81%,3.13%,"229,138","17,486",41.58%,3.17%,"97,011","13,246",17.61%,2.40%
"Western Connecticut Planning Region, Connecticut","620,865","258,018","17,082",41.56%,2.75%,"254,541","17,563",41.00%,2.83%,"108,306","13,697",17.44%,2.21%
"Monmouth County, New Jersey","640,645","283,369","17,074",44.23%,2.67%,"254,480","17,362",39.72%,2.71%,"102,796","13,624",16.05%,2.13%
"Delaware County, Pennsylvania","558,968","213,153","17,073",38.13%,3.05%,"236,699","18,585",42.35%,3.32%,"109,116","15,872",19.52%,2.84%
"Brevard County, Florida","640,543","220,144","16,973",34.37%,2.65%,"291,179","17,599",45.46%,2.75%,"129,220","14,163",20.17%,2.21%
"Will County, Illinois","695,458","303,730","16,947",43.67%,2.44%,"284,265","17,445",40.87%,2.51%,"107,463","14,047",15.45%,2.02%
"Douglas County, Nebraska","582,130","246,087","16,917",42.27%,2.91%,"235,885","17,141",40.52%,2.94%,"100,158","13,355",17.21%,2.29%
"Montgomery County, Ohio","526,295","200,305","16,751",38.06%,3.18%,"214,305","17,087",40.72%,3.25%,"111,685","14,020",21.22%,2.66%
"Ocean County, New Jersey","658,519","233,683","16,633",35.49%,2.53%,"285,364","17,261",43.33%,2.62%,"139,472","13,905",21.18%,2.11%
"South Central Connecticut Planning Region, Connecticut","551,787","202,290","16,631",36.66%,3.01%,"233,920","17,527",42.39%,3.18%,"115,577","14,271",20.95%,2.59%
"New Castle County, Delaware","567,084","218,603","16,612",38.55%,2.93%,"242,228","17,279",42.71%,3.05%,"106,253","13,840",18.74%,2.44%
"Tulsa County, Oklahoma","677,070","225,399","16,584",33.29%,2.45%,"305,897","17,314",45.18%,2.56%,"145,774","13,947",21.53%,2.06%
"Summit County, Ohio","532,811","220,020","16,431",41.29%,3.08%,"206,447","16,568",38.75%,3.11%,"106,344","13,378",19.96%,2.51%
"Ramsey County, Minnesota","527,427","202,468","16,416",38.39%,3.11%,"226,654","16,718",42.97%,3.17%,"98,305","13,457",18.64%,2.55%
"Bucks County, Pennsylvania","643,368","278,587","16,414",43.30%,2.55%,"256,439","16,805",39.86%,2.61%,"108,342","13,440",16.84%,2.09%
"Richmond County, New York","489,550","145,803","16,336",29.78%,3.34%,"229,439","18,298",46.87%,3.74%,"114,308","16,124",23.35%,3.29%
"Guilford County, North Carolina","528,137","192,479","16,275",36.44%,3.08%,"226,895","16,924",42.96%,3.20%,"108,763","13,472",20.59%,2.55%
"Anne Arundel County, Maryland","589,251","260,578","16,269",44.22%,2.76%,"247,386","16,638",41.98%,2.82%,"81,287","12,833",13.79%,2.18%
"Utah County, Utah","705,360","321,886","16,222",45.63%,2.30%,"303,559","16,219",43.04%,2.30%,"79,915","10,508",11.33%,1.49%
"Bristol County, Massachusetts","574,481","230,357","16,139",40.10%,2.81%,"233,990","16,287",40.73%,2.84%,"110,134","12,402",19.17%,2.16%
"Washington County, Oregon","595,643","233,699","16,022",39.23%,2.69%,"269,613","16,936",45.26%,2.84%,"92,331","12,791",15.50%,2.15%
"Union County, New Jersey","570,787","182,891","15,964",32.04%,2.80%,"259,166","18,728",45.41%,3.28%,"128,730","17,005",22.55%,2.98%
"Volusia County, Florida","579,638","180,121","15,851",31.07%,2.73%,"269,895","16,649",46.56%,2.87%,"129,622","13,696",22.36%,2.36%
"Knox County, Tennessee","489,496","200,229","15,831",40.91%,3.23%,"201,992","15,874",41.27%,3.24%,"87,275","12,258",17.83%,2.50%
"Sedgwick County, Kansas","524,518","203,322","15,497",38.76%,2.95%,"222,396","15,724",42.40%,3.00%,"98,800","12,226",18.84%,2.33%
"Adams County, Colorado","531,765","208,424","15,481",39.19%,2.91%,"241,596","16,363",45.43%,3.08%,"81,745","12,591",15.37%,2.37%
"Passaic County, New Jersey","508,795","142,844","15,479",28.07%,3.04%,"235,581","18,487",46.30%,3.63%,"130,370","16,919",25.62%,3.33%
"Jefferson County, Colorado","570,530","254,266","15,346",44.57%,2.69%,"232,570","15,765",40.76%,2.76%,"83,694","11,973",14.67%,2.10%
"Washoe County, Nevada","493,598","169,797","15,204",34.40%,3.08%,"235,374","15,747",47.69%,3.19%,"88,427","11,868",17.91%,2.40%
"Spokane County, Washington","543,837","201,777","15,141",37.10%,2.78%,"248,052","15,752",45.61%,2.90%,"94,008","11,743",17.29%,2.16%
"Clark County, Washington","520,513","191,874","14,943",36.86%,2.87%,"249,838","15,664",48.00%,3.01%,"78,801","11,752",15.14%,2.26%
"Chester County, Pennsylvania","540,385","263,281","14,935",48.72%,2.76%,"201,201","14,680",37.23%,2.72%,"75,903","10,796",14.05%,2.00%
"Camden County, New Jersey","525,999","188,812","14,912",35.90%,2.83%,"219,943","16,528",41.81%,3.14%,"117,244","14,371",22.29%,2.73%
"Lancaster County, Pennsylvania","550,922","214,200","14,905",38.88%,2.71%,"223,954","15,107",40.65%,2.74%,"112,768","11,877",20.47%,2.16%
"Plymouth County, Massachusetts","530,191","216,768","14,879",40.88%,2.81%,"232,460","15,087",43.84%,2.85%,"80,963","11,285",15.27%,2.13%
"Seminole County, Florida","482,865","184,430","14,751",38.19%,3.05%,"219,682","15,188",45.50%,3.15%,"78,753","11,860",16.31%,2.46%
"Dane County, Wisconsin","563,419","250,283","14,688",44.42%,2.61%,"222,550","14,785",39.50%,2.62%,"90,586","11,554",16.08%,2.05%
"East Baton Rouge Parish, Louisiana","435,318","148,069","14,473",34.01%,3.32%,"183,205","15,252",42.09%,3.50%,"104,044","12,854",23.90%,2.95%
"Ada County, Idaho","515,159","219,672","14,472",42.64%,2.81%,"223,628","14,595",43.41%,2.83%,"71,859","10,448",13.95%,2.03%
"Hampden County, Massachusetts","451,848","149,202","14,435",33.02%,3.19%,"195,836","15,356",43.34%,3.40%,"106,810","12,718",23.64%,2.81%
"Onondaga County, New York","454,966","179,994","14,316",39.56%,3.15%,"183,647","14,700",40.36%,3.23%,"91,325","11,979",20.07%,2.63%
"Polk County, Iowa","500,313","217,475","14,246",43.47%,2.85%,"200,752","14,271",40.13%,2.85%,"82,086","10,825",16.41%,2.16%
"Lake County, Indiana","499,177","177,535","14,238",35.57%,2.85%,"214,559","14,939",42.98%,2.99%,"107,083","12,457",21.45%,2.50%
"Lucas County, Ohio","420,639","157,684","14,213",37.49%,3.38%,"169,128","14,579",40.21%,3.47%,"93,827","12,082",22.31%,2.87%
"Naugatuck Valley Planning Region, Connecticut","453,837","172,534","14,156",38.02%,3.12%,"191,810","14,665",42.26%,3.23%,"89,493","11,520",19.72%,2.54%
"Orleans Parish, Louisiana","352,782","112,663","14,129",31.94%,4.01%,"147,939","15,114",41.93%,4.28%,"92,180","12,955",26.13%,3.67%
"Virginia Beach city, Virginia","451,473","191,894","14,111",42.50%,3.13%,"192,301","14,435",42.59%,3.20%,"67,278","11,163",14.90%,2.47%
"Manatee County, Florida","439,056","128,256","13,876",29.21%,3.16%,"212,734","14,850",48.45%,3.38%,"98,066","12,352",22.34%,2.81%
"Stanislaus County, California","550,286","148,691","13,847",27.02%,2.52%,"296,778","15,299",53.93%,2.78%,"104,817","12,121",19.05%,2.20%
"Forsyth County, North Carolina","383,669","143,338","13,737",37.36%,3.58%,"162,302","14,129",42.30%,3.68%,"78,029","10,946",20.34%,2.85%
"Prince William County, Virginia","488,903","211,383","13,733",43.24%,2.81%,"210,760","14,354",43.11%,2.94%,"66,760","11,153",13.66%,2.28%
"Jefferson Parish, Louisiana","420,760","133,547","13,660",31.74%,3.25%,"185,523","14,593",44.09%,3.47%,"101,690","12,359",24.17%,2.94%
"Morris County, New Jersey","511,628","242,171","13,590",47.33%,2.66%,"194,575","14,040",38.03%,2.74%,"74,882","11,159",14.64%,2.18%
"Genesee County, Michigan","400,004","151,409","13,356",37.85%,3.34%,"165,444","13,433",41.36%,3.36%,"83,151","10,661",20.79%,2.67%
"Kane County, Illinois","513,187","204,654","13,318",39.88%,2.60%,"223,959","13,970",43.64%,2.72%,"84,574","11,305",16.48%,2.20%
"Mobile County, Alabama","406,818","139,715","13,258",34.34%,3.26%,"176,355","13,933",43.35%,3.42%,"90,748","11,800",22.31%,2.90%
"Richland County, South Carolina","408,601","149,877","13,131",36.68%,3.21%,"179,139","13,586",43.84%,3.33%,"79,585","10,682",19.48%,2.61%
"Sarasota County, Florida","466,373","127,984","13,118",27.44%,2.81%,"227,104","14,383",48.70%,3.08%,"111,285","12,227",23.86%,2.62%
"Osceola County, Florida","436,811","135,872","13,037",31.11%,2.98%,"218,001","14,032",49.91%,3.21%,"82,938","11,464",18.99%,2.62%
"York County, Pennsylvania","460,935","200,137","13,015",43.42%,2.82%,"183,874","13,025",39.89%,2.83%,"76,924","10,085",16.69%,2.19%
"Charleston County, South Carolina","418,780","171,453","12,978",40.94%,3.10%,"173,009","13,248",41.31%,3.16%,"74,318","10,276",17.75%,2.45%
"Madison County, Alabama","403,321","169,731","12,727",42.08%,3.16%,"158,831","13,111",39.38%,3.25%,"74,759","10,684",18.54%,2.65%
"Dakota County, Minnesota","447,314","205,959","12,693",46.04%,2.84%,"178,940","12,688",40.00%,2.84%,"62,415","9,548",13.95%,2.13%
"Chesterfield County, Virginia","380,088","164,274","12,679",43.22%,3.34%,"163,461","12,896",43.01%,3.39%,"52,353","9,690",13.77%,2.55%
"Hillsborough County, New Hampshire","423,608","187,806","12,636",44.33%,2.98%,"173,534","12,636",40.97%,2.98%,"62,268","9,474",14.70%,2.24%
"Pulaski County, Arkansas","394,815","133,764","12,629",33.88%,3.20%,"169,724","13,284",42.99%,3.36%,"91,327","11,145",23.13%,2.82%
"Burlington County, New Jersey","462,087","195,999","12,506",42.42%,2.71%,"190,219","13,059",41.17%,2.83%,"75,869","10,730",16.42%,2.32%
"Allen County, Indiana","392,260","163,776","12,450",41.75%,3.17%,"151,397","12,537",38.60%,3.20%,"77,087","9,846",19.65%,2.51%
"Butler County, Ohio","384,153","165,076","12,389",42.97%,3.23%,"151,073","12,315",39.33%,3.21%,"68,004","9,453",17.70%,2.46%
"Marion County, Florida","403,701","110,003","12,381",27.25%,3.07%,"195,616","13,372",48.46%,3.31%,"98,082","11,019",24.30%,2.73%
"Sonoma County, California","478,805","147,099","12,366",30.72%,2.58%,"241,808","13,537",50.50%,2.83%,"89,898","10,793",18.78%,2.25%
"Hamilton County, Tennessee","375,691","147,039","12,098",39.14%,3.22%,"154,176","12,376",41.04%,3.29%,"74,476","10,050",19.82%,2.68%
"Berks County, Pennsylvania","424,261","162,218","12,024",38.24%,2.83%,"170,998","13,059",40.30%,3.08%,"91,045","11,085",21.46%,2.61%
"Mercer County, New Jersey","370,048","130,854","11,990",35.36%,3.24%,"159,751","13,379",43.17%,3.62%,"79,443","11,592",21.47%,3.13%
"St. Charles County, Missouri","413,893","201,614","11,955",48.71%,2.89%,"156,978","11,814",37.93%,2.85%,"55,301","8,786",13.36%,2.12%
